cluster_id,label
0,Dorsal mesenchyme
1,Pharyngeal arch / paraxial mesoderm
2,Cardiomyocytes
3,Splanchnic mesoderm / SHF progenitors
4,Pharyngeal mesenchyme
5,Pharyngeal ectoderm
6,Endothelial cells
7,Neural progenitors / neural tube
8,Neurons / enteric nervous system
9,Neural crest
